City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Egilsstadir,65.2653,-14.3948,-6.05,93,0,3.09,IS,1699669353
1,Mogocha,53.7333,119.7667,-9.64,47,76,1.48,RU,1699669353
2,Albany,42.6001,-73.9662,7.04,61,50,2.41,US,1699669353
3,Grytviken,-54.2811,-36.5092,2.0,85,53,5.77,GS,1699669353
4,Puerto Natales,-51.7236,-72.4875,4.78,96,100,2.82,CL,1699669353
5,Praia da Vitória,38.7333,-27.0667,21.14,88,40,7.21,PT,1699669353
6,Olonkinbyen,70.9221,-8.7187,0.94,81,100,3.31,SJ,1699669354
7,Goz Beida,13.95,20.55,25.45,24,97,3.19,TD,1699669354
8,Mapastepec,15.4333,-92.9,25.11,84,9,1.61,MX,1699669354
9,Carazinho,-28.2839,-52.7864,22.56,86,83,4.68,BR,1699669354
10,Coahuayana de Hidalgo,18.7,-103.6583,25.8,86,99,0.99,MX,1699669354
11,Gülnar,36.3415,33.3992,11.67,75,83,1.02,TR,1699669355
12,Blackmans Bay,-43.0167,147.3167,18.18,64,60,0.45,AU,1699669355
13,Afaahiti,-17.75,-149.2833,28.93,84,100,4.85,PF,1699669355
14,George Town,5.4112,100.3354,29.96,84,20,2.57,MY,1699669355
15,Richards Bay,-28.783,32.0377,19.81,83,0,7.6,ZA,1699669355
16,Alofi,-19.0595,-169.9187,25.94,94,100,2.57,NU,1699669355
17,Rémire-Montjoly,4.9167,-52.2667,27.53,82,8,6.41,GF,1699669356
18,Tura,25.5198,90.2201,21.37,77,0,1.02,IN,1699669356
19,Waitangi,-43.9535,-176.5597,11.57,77,82,1.34,NZ,1699669356
20,Āsosa,10.0667,34.5333,16.77,83,100,1.79,ET,1699669356
21,Gamba,-2.65,10.0,23.74,94,100,2.55,GA,1699669357
22,Champotón,19.35,-90.7167,26.31,81,75,3.4,MX,1699669357
23,Stanley,54.868,-1.6985,4.6,87,40,4.63,GB,1699669357
24,Saint-Philippe,-21.3585,55.7679,21.73,83,99,0.56,RE,1699669357
25,Luwuk,-0.9516,122.7875,30.16,69,84,1.74,ID,1699669357
26,Alma,48.5501,-71.6491,-1.06,94,99,4.11,CA,1699669191
27,Tsiombe,-25.3,45.4833,18.79,76,59,3.14,MG,1699669357
28,Bengkulu,-3.8004,102.2655,27.13,77,97,1.88,ID,1699669358
29,Bilibino,68.0546,166.4372,-27.59,100,98,1.19,RU,1699669358
30,Port Elizabeth,-33.918,25.5701,19.16,84,0,12.86,ZA,1699669358
31,Onega,63.9061,38.1404,1.56,100,100,1.24,RU,1699669358
32,Lindi,-10.0,39.7167,23.64,94,25,1.62,TZ,1699669358
33,Sechura,-5.5569,-80.8222,20.82,72,50,6.18,PE,1699669358
34,Sitka,57.0531,-135.33,6.94,81,100,7.2,US,1699669359
35,Carnarvon,-24.8667,113.6333,23.27,56,2,8.03,AU,1699669359
36,Jamestown,42.097,-79.2353,7.77,86,100,2.06,US,1699669359
37,As Sulayyil,20.4607,45.5779,19.14,38,100,3.27,SA,1699669359
38,Ust-Nera,64.5667,143.2,-27.67,96,55,1.92,RU,1699669359
39,Aasiaat,68.7098,-52.8699,-10.61,94,99,2.76,GL,1699669359
40,Yellowknife,62.456,-114.3525,1.9,100,75,2.06,CA,1699669359
41,Itamaracá,-7.7478,-34.8256,27.03,77,1,4.27,BR,1699669360
42,Vadsø,70.0744,29.7487,-0.91,86,40,1.54,NO,1699669360
43,Port-aux-Français,-49.35,70.2167,2.77,92,100,15.47,TF,1699669360
44,Ilovlya,49.3033,43.9796,3.38,90,2,1.55,RU,1699669360
45,Santana,-0.0583,-51.1817,30.1,70,20,6.69,BR,1699669102
46,Adamstown,-25.066,-130.1015,22.82,80,1,4.55,PN,1699669360
47,Labytnangi,66.6572,66.4183,-10.51,90,100,2.57,RU,1699669360
48,Puerto Ayora,-0.7393,-90.3518,24.19,93,30,3.13,EC,1699669360
49,Rongelap,11.1635,166.8941,26.95,85,100,8.7,MH,1699669361
50,Ribeira Grande,38.5167,-28.7,20.43,96,15,7.15,PT,1699669361
51,Qaqortoq,60.7167,-46.0333,-6.9,58,44,4.46,GL,1699669361
52,Avarua,-21.2078,-159.775,26.03,83,100,2.06,CK,1699669361
53,Ovruch,51.3246,28.8035,7.61,84,100,5.89,UA,1699669361
54,Batăr,46.7,21.8167,9.21,90,100,1.95,RO,1699669362
55,Awjilah,29.1081,21.2869,19.69,54,0,2.75,LY,1699669362
56,El Calafate,-50.3408,-72.2768,9.8,69,100,2.53,AR,1699669362
57,Yuzhno-Kurilsk,44.0306,145.8556,5.76,88,100,10.57,RU,1699669362
58,Saint-Pierre,-21.3393,55.4781,22.54,88,100,3.09,RE,1699669362
59,Tiksi,71.6872,128.8694,-12.95,86,100,8.66,RU,1699669362
60,Bengaluru,12.9762,77.6033,21.8,83,20,1.54,IN,1699669293
61,Bredasdorp,-34.5322,20.0403,16.71,74,100,2.93,ZA,1699669363
62,Waingapu,-9.6567,120.2641,31.47,54,0,3.88,ID,1699669363
63,Atafu Village,-8.5421,-172.5159,29.27,73,6,4.5,TK,1699669363
64,Anadyr,64.75,177.4833,-13.72,78,20,8.0,RU,1699669363
65,Talnakh,69.4865,88.3972,-5.44,95,100,6.05,RU,1699669363
66,Brookings,44.3114,-96.7984,0.21,88,0,2.06,US,1699669118
67,West Island,-12.1568,96.8225,27.99,74,75,5.66,CC,1699669364
68,Sisimiut,66.9395,-53.6735,-6.64,82,84,5.34,GL,1699669364
69,Bethel,41.3712,-73.414,8.05,74,5,0.45,US,1699669364
70,Bogale,16.2833,95.4,26.57,85,100,2.31,MM,1699669364
71,Magadan,59.5667,150.8,-13.48,73,17,4.43,RU,1699669364
72,Hermanus,-34.4187,19.2345,16.98,79,100,1.35,ZA,1699669364
73,Klyuchi,52.2667,79.1667,3.4,88,99,4.14,RU,1699669364
74,Port Mathurin,-19.6833,63.4167,24.92,79,10,4.82,MU,1699669365
75,Khandūd,36.9513,72.318,-4.54,37,1,0.2,AF,1699669365
76,Birao,10.2849,22.7882,24.12,67,26,1.37,CF,1699669365
77,Vorgashor,67.5833,63.95,-15.0,100,97,2.62,RU,1699669066
78,Cologne,50.9333,6.95,7.76,92,100,3.09,DE,1699669365
79,Saint Paul Harbor,57.79,-152.4072,1.73,51,75,7.72,US,1699669366
80,Hithadhoo,-0.6,73.0833,27.05,83,34,6.6,MV,1699669366
81,Keflavik,64.0049,-22.5624,2.24,93,75,3.09,IS,1699669366
82,Maribondo,-9.5772,-36.3053,20.79,91,0,2.61,BR,1699669342
83,Pacific Grove,36.6177,-121.9166,16.25,53,0,2.06,US,1699669366
84,Champerico,14.3,-91.9167,27.62,79,47,3.46,GT,1699669366
85,Ilulissat,69.2167,-51.1,-5.99,68,100,6.69,GL,1699669367
